,TOUT_max,SR_acum,NO_06_09,NO2_06_09,CO_06_09,WSR_media,WSR_min,PRS_media,RH_media,viento_u_media,viento_v_media,PM10_media,SO2_media
Combustión primaria,-0.13699650694331567,-0.04678047282254401,0.37611380473203554,0.5114773780717387,0.18581272862361306,0.20727278985397662,0.07737976553026896,-0.09645316145315144,-0.12734065008140527,0.0192943791445303,-0.027681853228420795,0.2929121339184759,0.11215559408416995
Ventilación,-0.13707029162779244,-0.08168162080441413,0.04510985331855583,0.10018874536780066,0.04800430849909874,0.8078453025171696,0.37615190580107727,-0.06081242707906002,0.014612148554622948,-0.10690499855644976,0.007408317622592326,0.015819266748401898,0.008432896290548521
Forzamiento fotoquímico,0.7209271783204289,0.4589069042008501,-0.08014854791300653,-0.18918854631695275,-0.020465720834683024,-0.10107406857683036,-0.24660382616684262,-0.017650264311172604,-0.2915915499926412,-0.015097205012807695,0.03930284074567137,0.11823744241555312,0.050618695541974276
